#,Listing ID,Listing Class,Street Number,Street Name,Municipality,Community,List Price,Sold Price,Type,Style,Bed Room,Extra Space,Wash Room,Family Room,Kitchen,Garage Type,A/C,Heat Type,Contract Date,Sold Date,List Brokerage
627,W5645121,Sld,36,Sedgewick,Brampton,Fletcher's Creek,1420000,1350000,Detached,2-Storey,3,1,4,Y,1,Double Car,Cen,Gas,2022-06-03,2022-07-04,KELLER WILL
628,W5692785,Sld,71,Forestgrov,Brampton,Heart Lake,1449000,1430000,Detached,2-Storey,4,1,4,Y,1,Double Car,Cen,Gas,2022-07-11,2022-07-23,RE/MAX REAL
629,W5718724,Sld,8,Treegrove,Brampton,Fletcher's Creek,1465000,1327000,Detached,2-Storey,5,0,4,Y,1,Double Car,Cen,Gas,2022-08-03,2022-08-23,HOMELIFE/RE
630,W5730460,Sld,32,Beachpoint,Brampton,Fletcher's Creek,1498800,1385000,Detached,2-Storey,4,2,4,Y,1,Double Car,Cen,Gas,2022-08-12,2022-09-12,RE/MAX
631,W5729616,Sld,10,Abercrombi,Brampton,Northwest,1499000,1425000,Detached,2-Storey,4,2,4,Y,1,Double Car,Cen,Gas,2022-08-11,2022-08-19,HOMELIFE MA
632,W5663820,Sld,60,Capistro,Brampton,Fletcher's Creek,1499900,1457000,Detached,2-Storey,5,2,5,Y,1,Double Car,Cen,Gas,2022-06-17,2022-07-09,RE/MAX REAL
633,W5744729,Sld,29,Perkins,Brampton,Northwest,1499900,1429000,Detached,2-Storey,4,1,5,Y,1,Double Car,Cen,Gas,2022-08-26,2022-09-26,ROYAL LEPAG
634,W5671170,Sld,15,Sugarcane,Brampton,Sandringham,1499999,1400000,Detached,2-Storey,4,2,5,Y,1,Double Car,Cen,Gas,2022-06-23,2022-09-08,RE/MAX REAL
635,W5755606,Sld,35,Imperial L,Brampton,Brampton E,1499999,1450000,Detached,2-Storey,4,2,5,Y,1,Double Car,Cen,Gas,2022-09-08,2022-09-15,PROPERTY.CA
636,W5764090,Sld,91,Villadowns,Brampton,Sandringham,1499999,1450000,Detached,2-Storey,4,2,5,Y,1,Double Car,Cen,Gas,2022-09-15,2022-09-20,ROYAL LEPAG
637,W5687984,Sld,44,Templehill,Brampton,Sandringham,1549900,1450000,Detached,2-Storey,4,2,5,Y,1,Double Car,Cen,Gas,2022-07-07,2022-07-14,RE/MAX REAL
638,W5659394,Sld,11,Alboreto,Brampton,Credit Valley,1550000,1400000,Detached,2-Storey,4,0,3,Y,1,Double Car,Cen,Gas,2022-06-14,2022-07-21,ROYAL LEPAG
639,W5688720,Sld,19,Mountain R,Brampton,Brampton W,1570000,1470000,Detached,2-Storey,4,1,4,Y,1,Double Car,Cen,Gas,2022-07-07,2022-08-09,RE/MAX REAL
640,W5732938,Sld,102,Southlake,Brampton,Madoc,1578900,1525000,Detached,2-Storey,4,2,4,Y,1,Double Car,Cen,Gas,2022-08-15,2022-09-28,RE/MAX REAL
641,W5759784,Sld,33,Baylawn,Brampton,Brampton E,1599000,1515000,Detached,2-Storey,4,3,6,Y,1,Double Car,Cen,Gas,2022-09-12,2022-09-13,HOMELIFE KI
642,W5719880,Sld,43,Lavallee,Brampton,Credit Valley,1599900,1560000,Detached,2-Storey,4,2,5,Y,1,Double Car,Cen,Gas,2022-08-04,2022-08-06,RE/MAX REAL
643,W5734740,Sld,3,Maple Syru,Brampton,Toronto Go,1599900,1580000,Detached,2-Storey,4,0,4,Y,1,Double Car,Cen,Gas,2022-08-17,2022-08-18,RE/MAX REAL
644,W5712961,Sld,123,Russell Cr,Brampton,Sandringham,1629000,1635000,Detached,2-Storey,4,3,6,Y,1,Double Car,Cen,Gas,2022-07-28,2022-07-31,HOMELIFE/MI
645,W5638272,Sld,107,Softneedle,Brampton,Sandringham,1649000,1617000,Detached,2-Storey,5,2,5,Y,2,Double Car,Cen,Gas,2022-05-28,2022-07-12,CENTURY 21
646,W5714671,Sld,71,Purple Sag,Brampton,Northwest,1649000,1625000,Detached,2-Storey,5,0,4,Y,1,Double Car,Cen,Gas,2022-07-29,2022-08-29,ROYAL LEPAG
647,W5715423,Sld,82,Laurentide,Brampton,Vales of Caclemore,1649000,1455000,Detached,2-Storey,4,1,4,Y,1,Double Car,Cen,Gas,2022-07-30,2022-08-19,CENTURY 21
648,W5673004,Sld,100,Don Minake,Brampton,Brampton E,1675000,1500000,Detached,2-Storey,4,2,4,Y,1,Double Car,Cen,Gas,2022-06-24,2022-07-12,CENTURY 21
649,W5681506,Sld,16,Leparc,Brampton,Vales of Caclemore,1688000,1688500,Detached,2-Storey,4,0,4,Y,1,Double Car,Cen,Gas,2022-07-01,2022-07-05,RE/MAX REAL
